year,state,Pincode,type,count,amount
2018,andhra-pradesh,520001,TOTAL,206435,371140000.30740225
2018,andhra-pradesh,518502,TOTAL,441662,332201263.2829269
2018,andhra-pradesh,517501,TOTAL,423357,714887920.0334857
2018,andhra-pradesh,530016,TOTAL,367619,575982481.3389585
2018,andhra-pradesh,515001,TOTAL,355695,651952970.9302757
2018,andhra-pradesh,517507,TOTAL,318300,594747982.0458119
2018,andhra-pradesh,530003,TOTAL,277131,356075793.85855436
2018,andhra-pradesh,516001,TOTAL,269798,572252390.1920383
2018,andhra-pradesh,520010,TOTAL,250261,492229977.1570112
2018,andhra-pradesh,530017,TOTAL,248725,326891428.60271376
2018,andhra-pradesh,518501,TOTAL,248520,357423401.5571966
2019,andhra-pradesh,530001,TOTAL,950821,1529039457.6419592
2019,andhra-pradesh,517501,TOTAL,922416,1244725311.4573965
2019,andhra-pradesh,520001,TOTAL,814616,1462807205.627422
2019,andhra-pradesh,530016,TOTAL,684611,960022481.5524917
2019,andhra-pradesh,517507,TOTAL,671661,1009128524.8128469
2019,andhra-pradesh,515001,TOTAL,609682,1009938283.8464416
2019,andhra-pradesh,518502,TOTAL,545426,389782596.9665674
2019,andhra-pradesh,530003,TOTAL,527667,590799502.8850918
2019,andhra-pradesh,530017,TOTAL,472914,531596255.9349663
2019,andhra-pradesh,520010,TOTAL,460133,774931063.0289192
2019,andhra-pradesh,530001,TOTAL,2602865,5218795715.70141
2019,andhra-pradesh,520001,TOTAL,1828617,3823390190.0922346
2019,andhra-pradesh,517501,TOTAL,949187,1669949938.5076957
2019,andhra-pradesh,522001,TOTAL,839909,1759418775.980979
2019,andhra-pradesh,530016,TOTAL,793798,1257915825.5688605
2019,andhra-pradesh,517507,TOTAL,760335,1412863012.2407691
2019,andhra-pradesh,515001,TOTAL,567306,1282118916.2094193
2019,andhra-pradesh,530003,TOTAL,520142,718170914.395836
2019,andhra-pradesh,520010,TOTAL,490697,973983824.5472903
2019,andhra-pradesh,530017,TOTAL,480905,650710126.3382195
2019,andhra-pradesh,530001,TOTAL,2944756,6693257653.901131
2019,andhra-pradesh,520001,TOTAL,1905190,4414503365.699517
2019,andhra-pradesh,517501,TOTAL,1434209,2203932856.2972074
2019,andhra-pradesh,530016,TOTAL,1196020,1658162548.562835
2019,andhra-pradesh,517507,TOTAL,1060513,1854927351.7366562
2019,andhra-pradesh,522001,TOTAL,1003916,2216532548.7258
2019,andhra-pradesh,515001,TOTAL,868052,1667826831.8650486
2019,andhra-pradesh,530003,TOTAL,858005,970993081.1712441
2019,andhra-pradesh,530017,TOTAL,799271,911939243.0618924
2019,andhra-pradesh,530026,TOTAL,711726,1095056835.9858122
2019,andhra-pradesh,530001,TOTAL,4185063,9160387223.4497
2019,andhra-pradesh,520001,TOTAL,2544877,5933007156.535349
2019,andhra-pradesh,517501,TOTAL,1920211,3073084029.9256625
2019,andhra-pradesh,530016,TOTAL,1591033,2295184224.145106
2019,andhra-pradesh,530026,TOTAL,1438154,2509394595.5414515
2019,andhra-pradesh,517507,TOTAL,1406768,2478459132.7705936
2019,andhra-pradesh,522001,TOTAL,1324202,2927313967.683236
2019,andhra-pradesh,515001,TOTAL,1202983,2376869516.684207
2019,andhra-pradesh,530003,TOTAL,1131832,1339103327.887921
2019,andhra-pradesh,530017,TOTAL,1084796,1266927471.3317952
2020,andhra-pradesh,530026,TOTAL,6695271,15258657486.862274
2020,andhra-pradesh,517501,TOTAL,2196548,3731404465.729061
2020,andhra-pradesh,530016,TOTAL,1661816,2593325339.0472875
2020,andhra-pradesh,517507,TOTAL,1554974,2719620696.0325623
2020,andhra-pradesh,515001,TOTAL,1346804,2696427930.6755033
2020,andhra-pradesh,530003,TOTAL,1159480,1519955258.5314608
2020,andhra-pradesh,524002,TOTAL,1125194,2653339803.95633
2020,andhra-pradesh,530017,TOTAL,1104748,1412381495.9440272
2020,andhra-pradesh,520010,TOTAL,1098395,2059547223.1742206
2020,andhra-pradesh,522001,TOTAL,1058410,2575723775.0488396
2020,andhra-pradesh,530026,TOTAL,4994637,12817902607.017586
2020,andhra-pradesh,517501,TOTAL,1708935,3203679955.4885287
2020,andhra-pradesh,517507,TOTAL,1575118,2854711069.441047
2020,andhra-pradesh,524002,TOTAL,1553283,3993963025.6852684
2020,andhra-pradesh,530016,TOTAL,1067022,1893629834.0393307
